,movie_name,production_year,movie_odid,production_budget,domestic_box_office,international_box_office,rating,creative_type,source,production_method,genre,sequel,running_time,world_wide_box_office
1825,Den of Thieves,2017,284400100,30000000,44947622,35183769,R,Contemporary Fiction,Original Screenplay,Live Action,Action,0.0,140.0,80131391
1826,The Hitman’s Bodyguard,2017,246610100,30000000,75468583,97310084,R,Contemporary Fiction,Original Screenplay,Live Action,Action,0.0,111.0,172778667
1827,Darkest Hour,2017,269080100,30000000,56443120,93912708,PG-13,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama,0.0,125.0,150355828
1828,The 15:17 to Paris,2017,296690100,30000000,36276286,19819914,PG-13,Dramatization,Based on Factual Book/Article,Live Action,Drama,0.0,94.0,56096200
1829,Proud Mary,2017,281630100,30000000,20868638,840901,R,Contemporary Fiction,Original Screenplay,Live Action,Action,0.0,88.0,21709539
1830,I Feel Pretty,2017,297080100,32000000,48795601,42758196,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,110.0,91553797
1831,Baby Driver,2017,141370100,34000000,107825862,120278323,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,115.0,228104185
1832,Adrift,2017,317770100,35000000,31445011,26452180,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,80.0,57897191
1833,It,2017,264810100,35000000,327481748,369976221,R,Historical Fiction,Remake,Live Action,Horror,0.0,135.0,697457969
1834,Sicario: Day of the Soldado,2017,288270100,35000000,50065850,25819346,R,Contemporary Fiction,Original Screenplay,Live Action,Action,1.0,123.0,75885196
1835,The Snowman,2017,251050100,35000000,6670765,36555381,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0.0,142.0,43226146
1836,12 Strong,2017,284970100,35000000,45819713,25298665,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,90.0,71118378
