,genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,genre_list,action,adventure,animation,comedy,crime,documentary,drama,family,fantasy,history,horror,music,mystery,romance,scifi,TV_movie,thriller,war,western
12245,[99],285592,en,"Ladies and Gentlemen, My Name Is Paul Heyman",1.4,2014-08-05,"WWE: Ladies and Gentlemen, My Name Is Paul Heyman",7.1,8,['Documentary'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12246,[99],342786,en,Rubble Kings,1.4,2015-06-19,Rubble Kings,7.1,12,['Documentary'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12247,[10751],298539,en,A Belle for Christmas,1.4,2014-11-04,A Belle for Christmas,7.1,7,['Family'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12248,[99],494186,en,KHAMAICA,1.4,2014-06-01,KHAMAICA,7.0,1,['Documentary'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12249,"[28, 12, 16, 10770]",375211,en,Eternals,1.4,2014-09-16,Eternals,7.0,2,"['Action', 'Adventure', 'Animation', 'TV Movie']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12250,[99],326891,es,Minerita,1.4,2014-11-18,Minerita,7.0,1,['Documentary'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12251,[99],258100,en,Approaching the Elephant,1.4,2015-02-20,Approaching the Elephant,7.0,4,['Documentary'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12252,0,581006,en,BoJack Horseman Christmas Special,1.4,2014-12-25,BoJack Horseman Christmas Special,6.9,5,['none'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12253,"[28, 35]",307614,te,Rabhasa,1.4,2014-08-28,Rabhasa,6.8,4,"['Action', 'Comedy']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12254,[99],290504,en,Awake: The Life of Yogananda,1.4,2014-10-10,Awake: The Life of Yogananda,6.7,9,['Documentary'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12255,[35],336775,en,All-Stars,1.4,2014-10-15,All-Stars,6.7,6,['Comedy'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12256,[35],285264,en,Steve Byrne: Champion,1.4,2014-05-01,Steve Byrne: Champion,6.7,3,['Comedy'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12257,"[53, 80]",256912,es,Lasa y Zabala,1.4,2014-10-17,Lasa & Zabala,6.7,9,"['Thriller', 'Crime']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12258,0,268892,en,Collar,1.4,2014-05-31,Collar,6.6,4,['none'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12259,"[18, 10749]",255302,en,北京爱情故事,1.4,2014-02-14,Beijing Love Story,6.6,4,"['Drama', 'Romance']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
12260,"[9648, 80, 18, 10770]",295237,en,The Assault,1.4,2014-09-20,The Assault,6.6,8,"['Mystery', 'Crime', 'Drama', 'TV Movie']",0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
12261,0,426683,en,The Hug,1.4,2014-12-17,The Hug,6.5,2,['none'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12262,[35],307257,en,Jack Whitehall Gets Around,1.4,2014-11-24,Jack Whitehall Gets Around,6.5,4,['Comedy'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12263,"[99, 10402]",281967,en,Sound and Chaos: The Story of BC Studio,1.4,2014-07-17,Sound and Chaos: The Story of BC Studio,6.5,2,"['Documentary', 'Music']",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12264,"[10749, 18]",270696,en,Tru Love,1.4,2014-04-10,Tru Love,6.5,10,"['Romance', 'Drama']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
12265,[18],228199,ru,Стыд,1.4,2014-06-01,Shame,6.5,2,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12266,[99],142916,en,The Great Flood,1.4,2014-01-08,The Great Flood,6.4,6,['Documentary'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12267,"[18, 10749]",272414,en,Echo Park,1.4,2014-06-14,Echo Park,6.3,8,"['Drama', 'Romance']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
12268,"[80, 53, 10770]",308397,en,Client Seduction,1.4,2014-02-08,Client Seduction,6.0,2,"['Crime', 'Thriller', 'TV Movie']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
12269,"[18, 53]",296775,en,Deadly Attraction,1.4,2014-02-14,Deadly Attraction,6.0,1,"['Drama', 'Thriller']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
12270,[99],256214,en,Natural Resistance,1.4,2014-02-18,Natural Resistance,6.0,3,['Documentary'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12271,[99],296941,en,The Hacker Wars,1.4,2014-10-17,The Hacker Wars,5.9,9,['Documentary'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12272,[99],296339,en,Hunted: The War Against Gays in Russia,1.4,2014-10-06,Hunted: The War Against Gays in Russia,5.8,4,['Documentary'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12273,[99],264763,en,Regarding Susan Sontag,1.4,2014-04-20,Regarding Susan Sontag,5.8,4,['Documentary'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12274,[18],284343,he,Boreg,1.4,2014-11-08,Self Made,5.7,3,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12275,[27],327368,en,Crazy Murder,1.4,2014-01-01,Crazy Murder,5.6,9,['Horror'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12276,[35],311765,en,The Santa Con,1.4,2014-12-13,The Santa Con,5.5,4,['Comedy'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12277,"[10749, 35]",294222,en,Mantervention,1.4,2014-08-01,Mantervention,5.5,12,"['Romance', 'Comedy']",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12278,[35],278377,en,Whitney Cummings: I Love You,1.4,2014-06-23,Whitney Cummings: I Love You,5.4,6,['Comedy'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12279,[27],298296,en,Heidi,1.4,2014-09-08,Heidi,5.1,7,['Horror'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12280,[27],298091,en,Scarewaves,1.4,2014-09-26,Scarewaves,5.1,4,['Horror'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12281,0,320643,en,Stand,1.4,2014-06-20,Stand,5.0,1,['none'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
